winperc,sav,gpg,sp,sogp,fp,cp,mu,ga,,,
15,0.469163001,0.210526317,0.180434778,0.594117641,0.292307705,0.504273474,0.348794073,0.50831598,,,
61.09999847,0.814978004,0.483029991,0.369565219,0.713725507,0.767307699,0.713675201,0.564007401,0.284823298,,,
18.79999924,0.605726898,0.24249877,0.245652169,0,0.148076922,0.442307681,0.172541738,0.562889814,,,
29,0.48678413,0.426463366,0.319565207,0.643137276,0.561538458,0.587606847,0.75139147,0.366424114,,,
26.60000038,0.623347998,0.332513541,0.302173913,0.725490212,0.634615362,0.485042721,0.261595547,0.410602897,,,
76.09999847,0.777533054,0.581898689,0.408695638,0.768627465,0.665384591,0.72863245,0.562152147,0.192307696,,,
64,0.856828213,0.488440722,0.37608695,0.733333349,0.41538462,0.803418815,0.38961038,0.182952181,,,
37.5,0.596916318,0.497786522,0.37391305,0.713725507,0.61153847,0.683760703,0.254174411,0.244282737,,,
30,0.50660795,0.187407777,0.267391294,0.611764729,0.655769229,0.568376064,0.196660489,0.408004165,,,
69.19999695,0.781938314,0.558288217,0.443478256,0.627451003,0.713461518,0.752136767,0.612244904,0.124220371,,,
68.40000153,0.735682845,0.484505653,0.300000012,0.701960802,0.840384603,0.803418815,0.593692005,0.249480247,,,
53.29999924,0.603524208,0.558780134,0.430434793,0.725490212,0.703846157,0.722222209,0.322820038,0.292619556,,,
8.300000191,0.330396473,0.140186921,0.200000003,0.686274529,0.275000006,0.525641024,0.142857149,0.697505176,,,
80,0.676211476,0.658140659,0.484782606,0.750980377,0.517307699,0.910256386,0.766233742,0.17983368,,,
7.099999905,0.376651973,0.158386618,0.117391303,0.576470613,0.092307694,0.365384609,0.05380334,0.756756783,,,
35.70000076,0.676211476,0.27693063,0.226086959,0.566666663,0.444230765,0.803418815,0.526901662,0.251559258,,,
66,0.731277525,0.434333503,0.254347831,0.58431375,0.721153855,0.724358976,0.474953622,0.202702701,,,
50,0.49118942,0.540580451,0.369565219,0.645098031,0.69615382,0.726495743,0.571428597,0.335239083,,,
52,0.751101315,0.397442192,0.302173913,0.747058809,0.530769229,0.611111104,0.393320978,0.301455289,,,
43.20000076,0.700440526,0.337924242,0.25,0.684313715,0.530769229,0.628205121,0.393320978,0.247401252,,,
44.40000153,0.594713628,0.400885403,0.3326087,0.684313715,0.625,0.579059839,0.298701286,0.396049887,,,
26.60000038,0.744493365,0.322675854,0.254347831,0.641176462,0.590384603,0.574786305,0.458256036,0.317047805,,,
9,0.400881052,0.114608951,0.139130428,0.494117647,0.257692307,0,0.16883117,0.805613279,,,
5.900000095,0.387665212,0.191834733,0.271739125,0.596078455,0.426923066,0.47863248,0.358070493,0.684511423,,,
55.59999847,0.596916318,0.447614372,0.402173907,0.813725471,0.642307699,0.68589741,0.445269018,0.305093557,,,
26.70000076,0.453744501,0.355632067,0.465217382,0.692156851,0.369230777,0.54273504,0.426716149,0.507796288,,,
82,0.696035266,0.57058537,0.378260881,0.664705873,0.692307711,0.824786305,0.582560301,0.213097706,,,
95.40000153,0.722466946,0.767338932,0.565217376,0.845098019,0.86153847,0.861111104,1,0.213617459,,,
52.90000153,0.713656366,0.391539603,0.397826076,0.715686262,0.623076916,0.743589759,0.359925777,0.250519753,,, 
6.599999905,0.588105738,0.217904568,0.360869557,0.786274493,0.455769241,0.3931624,0.486085355,0.576923072,,,
75,0.696035266,0.359567136,0.382608682,0.688235283,0.671153843,0.75,0.538033366,0.238045737,,,
66.59999847,0.541850209,0.510083616,0.404347837,0.754901946,0.930769205,0.805555582,0.517625213,0.238045737,,,
73.30000305,0.817180634,0.316281348,0.428260863,0.786274493,0.463461548,0.925213695,0.484230042,0.192307696,,,
78.40000153,0.731277525,0.608952284,0.444130421,0.788235307,0.640384614,0.745726526,0.656771779,0.178794175,,,
83.30000305,0.603524208,0.593212008,0.4173913,0.701960802,0.748076916,0.923076928,0.6011132,0.147609144,,,
58.79999924,0.656387687,0.478111178,0.313043475,0.588235319,0.869230747,0.754273474,0.679035246,0.304054052,,,
43.90000153,0.603524208,0.35317266,0.323913038,0.71960783,0.55384618,0.60683763,0.332096487,0,,,
50,0.596916318,0.442203641,0.321739137,0.707843125,0.432692319,0.732905984,0.517625213,0.367983371,,,
47.09999847,0.634361207,0.46089524,0.308695644,0.650980413,0.619230747,0.741452992,0.395176262,0.354469866,,,
55.59999847,0.528634369,0.562223315,0.447826087,0.709803939,0.642307699,0.677350402,0.510204077,0.461538464,,,
68.40000153,0.733480155,0.523364484,0.400000006,0.676470578,0.51346153,0.818376064,0.732838571,0.585758865,,,
73.30000305,0.817180634,0.414658129,0.428260863,0.786274493,0.463461548,0.925213695,0.484230042,0.192307696,,,
71,0.685021996,0.542547941,0.436956525,0.721568644,0.436538458,0.858974338,0.625231922,0.150727645,,,
85,0.746696055,0.704869628,0.502173901,0.78039217,0.673076928,0.822649598,0.753246725,0.172557175,,,
90,0.927312791,0.877029002,0.197826087,0.407843143,0.765384614,0.758547008,0.487940639,0.218295217,,,
75,0.676211476,0.517953753,0.341304362,0.741176486,0.542307675,0.822649598,0.781076074,0.249480247,,,
23.10000038,0.680616736,0.323659629,0.395652175,0.796078444,0.20961538,0.47863248,0.339517623,0.551975071,,,
66,0.803964734,0.522872627,0.397826076,0.870588243,0.461538464,0.720085442,0.651205957,0.226611227,,,
46.59999847,0.52202642,0.454008847,0.295652181,0.741176486,0.961538434,0.534188032,0.36178109,0.275467783,,,
57.20000076,0.792951524,0.365469754,1,0.094117649,0.705769241,0.647435904,0.612244904,0.233887732,,,
53.29999924,0.966960371,0.532710254,0.308695644,0.707843125,0.732692301,0.758547008,0.486085355,0.119542621,,,
18.20000076,0.825991213,0.17757009,0.14782609,0.562745094,0.026923077,0.254273504,0.359925777,0.433471918,,,
50,0.623347998,0.483521879,0.223913044,0.40196079,0.778846145,0.604700863,0.324675322,0.410602897,,,
28.60000038,0.607929528,0.432365954,0.293478251,0.676470578,0.730769217,0.858974338,0.647495389,0.355509371,,,
90,0.696035266,0.741760969,0.456521749,0.729411781,0.528846145,0.888888896,0.948051929,0.325363815,,,
60,0.720264316,0.457452029,0.328260869,0.611764729,0.77692306,0.790598273,0.541743994,0.213097706,,,
21.39999962,0.596916318,0.396950334,0.252173901,0.635294139,0.680769205,0.784188032,0.545454562,0.351871103,,,
47,0.526431739,0.409739316,0.432608694,0.750980377,0.550000012,0.83547008,0.643784761,0.275467783,,,
40,0.621145368,0.321200192,0.371739119,0.745098054,0.359615386,0.47863248,0.37105751,0.524948001,,,
14,0,0.394982785,0.267391294,0.698039234,0.759615362,0.670940161,0.38033396,0.333160073,,,
82,0.696035266,0.57058537,0.378260881,0.701960802,0.655769229,0.863247871,0.6011132,0.380977124,,,
13.30000019,0.5,0.30300048,0.341304362,0.678431392,0.238461539,0.43589744,0.38033396,0.524948001,,,
53.29999924,0.665198267,0.509591758,0.393478274,0.703921556,0.509615362,0.807692289,0.578849733,0.329002082,,,
41,0.713656366,0.390063941,0.302173913,0.639215708,0.613461554,0.611111104,0.476808906,0.285862774,,,
80,0.676211476,0.658140659,0.484782606,0.750980377,0.517307699,0.910256386,0.766233742,0.17983368,,,
30.79999924,0.409691632,0.380718142,0.260869563,0.586274505,0.340384603,0.660256386,0.395176262,0.5722453,,,
42.90000153,0.682819366,0.467289716,0.360869557,0.741764724,0.505769253,0.75,0.499072343,0.262993753,,,
20,0.594713628,0.204623714,0.195652172,0.698039234,0.109615386,0.470085472,0.410018563,0.458939701,,,
90,0.632158577,0.54648304,0.380434781,0.698039234,0.713461518,0.762820542,0.742115021,0.250519753,,,
65,0.733480155,0.476143628,0.419565231,0.711764693,0.840384603,0.873931646,0.400742114,0.273388773,,,
50,0.645374477,0.55386126,0.476086944,0.798039198,0.338461548,0.85683763,0.415584415,0.344074845,,,
53.29999924,0.755506635,0.414658129,0.328260869,0.664705873,0.498076916,0.754273474,0.367346942,0.25831601,,,
38.79999924,0.682819366,0.384653211,0.293478251,0.654901981,0.717307687,0.788461566,0.419294983,0.275987536,,,
50,0.640969157,0.493359566,0.386956513,0.674509823,0.476923078,0.596153855,0.443413734,0.32224533,,,
33,0.555066109,0.424495816,0.391304344,0.631372571,0.353846163,0.662393153,0.513914645,0.466216207,,,
52.79999924,0.629955947,0.449581891,0.317391306,0.649019599,0.542307675,0.735042751,0.471243054,0.341476083,,,
35.70000076,0.49779737,0.347761929,0.280434787,0.607843161,0.786538482,0.444444448,0.107606679,0.610706866,,,
40,0.572687209,0.467289716,0.3326087,0.609803915,0.442307681,0.839743614,0.61966604,0.50623703,,,
53.29999924,0.550660789,0.516478121,0.760869563,0.692156851,0.52692306,0.760683775,0.358070493,0.356548846,,,
86.40000153,0.691629946,0.651746213,0.899999976,0.79411763,0.788461566,0.886752129,0.593692005,0.130977124,,,
